,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
20,20,"((0, 'i'), 8.785349308535995)","((1, 'd'), 4.64558757990511)","((2, 'e'), 6.573342332415707)","((3, 'n'), 7.280567279457599)","((4, 't'), 6.164460171114544)","((5, 'i'), 5.244377828139847)","((6, 't'), 4.051664936872798)","((7, 'y'), 4.01935157472377)","((8, '<END>'), 3.0599042910165313)","((9, '<MASK>'), 3.411367584555105)","((10, '<MASK>'), 3.5704332519713797)","((11, '<MASK>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
21,21,"((0, 'j'), 8.785349308535995)","((1, 'o'), 4.64558757990511)","((2, 'k'), 6.573342332415707)","((3, 'e'), 7.280567279457599)","((4, 's'), 6.164460171114544)","((5, '<END>'), 5.244377828139847)","((6, '<MASK>'), 4.051664936872798)","((7, '<MASK>'), 4.01935157472377)","((8, '<MASK>'), 3.0599042910165313)","((9, '<MASK>'), 3.411367584555105)","((10, '<MASK>'), 3.5704332519713797)","((11, '<MASK>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
22,22,"((0, 'r'), 8.785349308535995)","((1, 'e'), 4.64558757990511)","((2, 'l'), 6.573342332415707)","((3, 'a'), 7.280567279457599)","((4, 't'), 6.164460171114544)","((5, 'e'), 5.244377828139847)","((6, 'd'), 4.051664936872798)","((7, '<END>'), 4.01935157472377)","((8, '<MASK>'), 3.0599042910165313)","((9, '<MASK>'), 3.411367584555105)","((10, '<MASK>'), 3.5704332519713797)","((11, '<MASK>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
23,23,"((0, 'p'), 8.785349308535995)","((1, 'r'), 4.64558757990511)","((2, 'e'), 6.573342332415707)","((3, 's'), 7.280567279457599)","((4, 'e'), 6.164460171114544)","((5, 'n'), 5.244377828139847)","((6, 't'), 4.051664936872798)","((7, 'i'), 4.01935157472377)","((8, 'n'), 3.0599042910165313)","((9, 'g'), 3.411367584555105)","((10, '<END>'), 3.5704332519713797)","((11, '<MASK>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
24,24,"((0, 'e'), 8.785349308535995)","((1, 'x'), 4.64558757990511)","((2, 'i'), 6.573342332415707)","((3, 's'), 7.280567279457599)","((4, 't'), 6.164460171114544)","((5, 'e'), 5.244377828139847)","((6, 'n'), 4.051664936872798)","((7, 'c'), 4.01935157472377)","((8, 'e'), 3.0599042910165313)","((9, '<END>'), 3.411367584555105)","((10, '<MASK>'), 3.5704332519713797)","((11, '<MASK>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
25,25,"((0, 'l'), 8.785349308535995)","((1, 'a'), 4.64558757990511)","((2, 't'), 6.573342332415707)","((3, 'e'), 7.280567279457599)","((4, 's'), 6.164460171114544)","((5, 't'), 5.244377828139847)","((6, '<END>'), 4.051664936872798)","((7, '<MASK>'), 4.01935157472377)","((8, '<MASK>'), 3.0599042910165313)","((9, '<MASK>'), 3.411367584555105)","((10, '<MASK>'), 3.5704332519713797)","((11, '<MASK>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
26,26,"((0, 'b'), 8.785349308535995)","((1, 'r'), 4.64558757990511)","((2, 'e'), 6.573342332415707)","((3, 'a'), 7.280567279457599)","((4, 'k'), 6.164460171114544)","((5, 'd'), 5.244377828139847)","((6, 'o'), 4.051664936872798)","((7, 'w'), 4.01935157472377)","((8, 'n'), 3.0599042910165313)","((9, '<END>'), 3.411367584555105)","((10, '<MASK>'), 3.5704332519713797)","((11, '<MASK>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
27,27,"((0, 'o'), 8.785349308535995)","((1, 'r'), 4.64558757990511)","((2, 'i'), 6.573342332415707)","((3, 'e'), 7.280567279457599)","((4, 'n'), 6.164460171114544)","((5, 't'), 5.244377828139847)","((6, 'a'), 4.051664936872798)","((7, 't'), 4.01935157472377)","((8, 'i'), 3.0599042910165313)","((9, 'o'), 3.411367584555105)","((10, 'n'), 3.5704332519713797)","((11, '<END>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
28,28,"((0, 'u'), 8.785349308535995)","((1, 'p'), 4.64558757990511)","((2, 'g'), 6.573342332415707)","((3, 'r'), 7.280567279457599)","((4, 'a'), 6.164460171114544)","((5, 'd'), 5.244377828139847)","((6, 'e'), 4.051664936872798)","((7, 's'), 4.01935157472377)","((8, '<END>'), 3.0599042910165313)","((9, '<MASK>'), 3.411367584555105)","((10, '<MASK>'), 3.5704332519713797)","((11, '<MASK>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
29,29,"((0, 'h'), 8.785349308535995)","((1, 'a'), 4.64558757990511)","((2, 'r'), 6.573342332415707)","((3, 'd'), 7.280567279457599)","((4, 'w'), 6.164460171114544)","((5, 'a'), 5.244377828139847)","((6, 'r'), 4.051664936872798)","((7, 'e'), 4.01935157472377)","((8, '<END>'), 3.0599042910165313)","((9, '<MASK>'), 3.411367584555105)","((10, '<MASK>'), 3.5704332519713797)","((11, '<MASK>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
